Company,Filename,Year,Unique ID
EKENNIS SOFTWARE SERVICE LIMITED,1645701703783.pdf,2022,U72900KA2019PLC122003
MARINE ELECTRICALS (INDIA) LIMITED,1537767221934.pdf,2018,U31907MH2007PLC176443
ABANS HOLDINGS LIMITED,1675847323928.pdf,2022,U74900MH2009PLC231660
SAH POLYMERS LIMITED,1673530321360.pdf,2023,U24201RJ1992PLC006657
ASTRON PAPER & BOARD MILL LIMITED,1513141069064.pdf,2017,U21090GJ2010PLC063428
CLARA INDUSTRIES LIMITED,1639563716514.pdf,2021,U25209UP2021PLC151537
ZOTA HEALTH CARE LIMITED,1494831113064.pdf,2017,U24231GJ2000PLC038352
PANACHE DIGILIFE LIMITED,1491817507484.pdf,2017,U72200MH2007PLC169415
BOHRA INDUSTRIES LIMITED,1489740519129.pdf,2017,U24117RJ1996PLC012912
VAISHALI PHARMA LIMITED,1510903298039.pdf,2017,U52310MH2008PLC181632
WORTH PERIPHERALS LIMITED,1509258490523.pdf,2017,U67120MP1996PLC010808
LEXUS GRANITO (INDIA) LIMITED,1509084304742.pdf,2017,U26914GJ2008PLC053838
INNOVATIVE TYRES AND TUBES LIMITED,1509193631411.pdf,2017,U25112GJ1995PLC086579
KHADIM INDIA LIMITED,1509363197743.pdf,2017,U19129WB1981PLC034337
AMBER ENTERPRISES INDIA LIMITED,1516096884418.pdf,2018,U28910PB1990PLC010265
SINTERCOM INDIA LIMITED,1517485131535.pdf,2018,U29299PN2007PLC129627
Mohini Health & Hygiene Limited,1517392643373.pdf,2018,U17300MP2009PLC022058
SOFTTECH ENGINEERS LIMITED,1526635987023.pdf,2018,U30107PN1996PLC016718
MAHICKRA CHEMICALS LIMITED,1523253354136.pdf,2018,U24304GJ2017PLC099781
RITCO LOGISTICS LIMITED,1549450922932.pdf,2019,U60221DL2001PLC112167
DECCAN HEALTH CARE LIMITED,1545890846491.pdf,2018,U72200TG1996PLC024351
INNOVATIVE IDEALS AND SERVICES (INDIA) LIMITED,1537347122005.pdf,2018,U64201MH2000PLC129901
OSIA HYPER RETAIL LIMITED,1554786612671.pdf,2019,U52190GJ2013PLC077269
VISHWARAJ SUGAR INDUSTRIES LIMITED,1569234655070.pdf,2019,U85110KA1995PLC017730
KARDA CONSTRUCTIONS LIMITED,1520595563101.pdf,2018,U45400MH2007PLC174194
PULZ ELECTRONICS LIMITED,1510224784251.pdf,2017,U32109WB2005PLC104357
RAIL VIKAS NIGAM LIMITED,1554184649780.pdf,2019,U74999DL2003GOI118633
